customer_id,churn_probability,predicted_ltv,projected_future_ltv,customer_segment,rfm_persona,intelligence_score,intelligence_category,primary_recommendation,recommendation_priority,estimated_revenue_saved,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,predicted_churn,churn_risk_level
7590-VHVEG,0.8683102361137721,57.87113084252048,4.52711402965523,Loyal Subscribers,Churned Subscribers,20.259077742058064,Poor,Offer Annual Contract Migration Discount,High,22.61254287871798,,,,,,,,,,,,,,,,,,,,,
5575-GNVDE,0.0929051284926566,1875.7951367141432,0.0,Loyal Subscribers,High-Potential Subscribers,69.18201393581273,Good,Offer Priority Telecom Tech Support,Medium,26.1406482303492,,,,,,,,,,,,,,,,,,,,,
3668-QPYBK,0.5825478663248348,120.8936477547648,0.0,Growth Subscribers,Churned Subscribers,36.52609526741139,Poor,Offer Annual Contract Migration Discount,High,31.69185144829397,,,,,,,,,,,,,,,,,,,,,
7795-CFOCW,0.0948218466941132,1898.055433778748,0.0,Loyal Subscribers,High-Potential Subscribers,72.21921539407688,Good,Standard Telecom Subscriber Loyalty Check-in,Low,0.0,,,,,,,,,,,,,,,,,,,,,
9237-HQITU,0.8804614554150821,143.66192733730782,0.0,Growth Subscribers,Churned Subscribers,23.157258038284866,Poor,Offer Annual Contract Migration Discount,High,56.91995533401381,,,,,,,,,,,,,,,,,,,,,
9305-CDSKC,0.9106171850500188,811.1021620824856,0.0,High-Value Subscribers,Churned Subscribers,39.64719257088882,Poor,Offer Annual Contract Migration Discount,High,332.3716054305917,,,,,,,,,,,,,,,,,,,,,
1452-KIOVK,0.6785531612653234,1965.3762531420248,0.0,High-Value Subscribers,At-Risk Subscribers,50.934045575207165,Moderate,Offer Annual Contract Migration Discount,High,600.1255213403928,,,,,,,,,,,,,,,,,,,,,
6713-OKOMC,0.4332396733753251,299.2868459347592,0.0,Loyal Subscribers,Dormant Subscribers,41.22093742196756,Moderate,Offer Annual Contract Migration Discount,High,58.34832092023785,,,,,,,,,,,,,,,,,,,,,
7892-POOKP,0.7879110590930934,3015.555484633416,0.0,High-Value Subscribers,At-Risk Subscribers,55.74072686851588,Moderate,Offer Annual Contract Migration Discount,High,1069.1952820431757,,,,,,,,,,,,,,,,,,,,,
6388-TABGU,0.043081510811835,3422.3406219707226,0.0,High-Value Subscribers,VIP Subscribers,80.45005564661399,Excellent,Offer Priority Telecom Tech Support,Medium,22.115940676082072,,,,,,,,,,,,,,,,,,,,,
9763-GRSKD,0.3353269857374752,658.2816621479406,0.0,Loyal Subscribers,Dormant Subscribers,50.10262683120433,Moderate,Offer Annual Contract Migration Discount,High,99.33282249044578,,,,,,,,,,,,,,,,,,,,,
7469-LKBCI,0.0410896139537147,323.3984742439059,157.9871024474986,Loyal Subscribers,Dormant Subscribers,54.908532620543525,Moderate,Standard Telecom Subscriber Loyalty Check-in,Low,0.0,,,,,,,,,,,,,,,,,,,,,
8091-TTVAX,0.4604733167372591,5775.63810284116,0.0,High-Value Subscribers,Loyal Subscribers,73.55428775944917,Good,Offer Executive Retention & Fiber Upgrade Pack,Critical,2659.52723348936,,,,,,,,,,,,,,,,,,,,,
0280-XJGEX,0.7031978457836857,5062.4429714661255,0.0,High-Value Subscribers,At-Risk Subscribers,65.8350439584151,Good,Offer Executive Retention & Fiber Upgrade Pack,Critical,3559.89899193774,,,,,,,,,,,,,,,,,,,,,
5129-JLPIS,0.6596563970544989,2591.720921141089,0.0,High-Value Subscribers,At-Risk Subscribers,58.25234326948656,Moderate,Offer Annual Contract Migration Discount,High,769.3403782548141,,,,,,,,,,,,,,,,,,,,,
3655-SNQYZ,0.0878724329270402,7697.858569838779,0.0,High-Value Subscribers,VIP Subscribers,96.24157170034206,Excellent,Standard Telecom Subscriber Loyalty Check-in,Low,0.0,,,,,,,,,,,,,,,,,,,,,
8191-XWSZG,0.0503239610374071,1078.8876948523225,0.0,Loyal Subscribers,High-Potential Subscribers,68.62439656257362,Good,Offer Autopay Billing Discount,Medium,10.858780463897263,,,,,,,,,,,,,,,,,,,,,
9959-WOFKT,0.1114292993122611,7522.450895346597,0.0,High-Value Subscribers,VIP Subscribers,91.01390221903156,Excellent,Offer Priority Telecom Tech Support,Medium,125.73321485690438,,,,,,,,,,,,,,,,,,,,,
4190-MFLUW,0.3137288374668758,548.9109816035057,0.0,Loyal Subscribers,Dormant Subscribers,51.81498872527282,Moderate,Offer Annual Contract Migration Discount,High,77.49414185907128,,,,,,,,,,,,,,,,,,,,,
4183-MYFRB,0.7303258716520388,1955.1663374535249,0.0,High-Value Subscribers,At-Risk Subscribers,49.08580274503616,Moderate,Offer Annual Contract Migration Discount,High,642.5588518314613,,,,,,,,,,,,,,,,,,,,,
8779-QRDMV,0.9203998769683206,60.56317262232744,3.429101803666059,Growth Subscribers,Churned Subscribers,21.344840571200272,Poor,Offer Annual Contract Migration Discount,High,25.0840514836806,,,,,,,,,,,,,,,,,,,,,
1680-VDCWW,0.1284561229539395,257.77384099016103,0.0,Loyal Subscribers,Dormant Subscribers,50.42602148727168,Moderate,Standard Telecom Subscriber Loyalty Check-in,Low,0.0,,,,,,,,,,,,,,,,,,,,,
1066-JKSGK,0.4743463964357727,36.70856030322162,22.329504748864142,Loyal Subscribers,Dormant Subscribers,30.59900510497578,Poor,Offer Annual Contract Migration Discount,High,7.835657984180295,,,,,,,,,,,,,,,,,,,,,
3638-WEABW,0.0604518096873727,3426.3136044425983,0.0,High-Value Subscribers,VIP Subscribers,81.32168651077465,Excellent,Standard Telecom Subscriber Loyalty Check-in,Low,0.0,,,,,,,,,,,,,,,,,,,,,
6322-HRPFA,0.101947909286647,2957.78345617902,0.0,High-Value Subscribers,VIP Subscribers,77.08875235264762,Good,Offer Annual Contract Migration Discount,High,135.69292776603783,,,,,,,,,,,,,,,,,,,,,
6865-JZNKO,0.2305340541213924,1589.715776425169,0.0,Loyal Subscribers,High-Potential Subscribers,63.39295046486309,Good,Offer Annual Contract Migration Discount,High,164.91763027801412,,,,,,,,,,,,,,,,,,,,,
6467-CHFZW,0.7299854210248983,4667.86391262335,0.0,High-Value Subscribers,At-Risk Subscribers,61.7064977112347,Good,Offer Executive Retention & Fiber Upgrade Pack,Critical,3407.472603543285,,,,,,,,,,,,,,,,,,,,,
8665-UTDHZ,0.7939990929508082,57.87113084252048,7.835307934376981,Loyal Subscribers,Churned Subscribers,22.488412036946983,Poor,Offer Annual Contract Migration Discount,High,20.67733142864946,,,,,,,,,,,,,,,,,,,,,
5248-YGIJN,0.059891836114793,6479.518295976219,0.0,High-Value Subscribers,VIP Subscribers,97.3423625662001,Excellent,Standard Telecom Subscriber Loyalty Check-in,Low,0.0,,,,,,,,,,,,,,,,,,,,,
8773-HHUOZ,0.50392747303361,1122.0600939542348,0.0,Loyal Subscribers,Dormant Subscribers,50.42421768899232,Moderate,Offer Annual Contract Migration Discount,High,254.44660848219564,,,,,,,,,,,,,,,,,,,,,
3841-NFECX,0.084893623369674,6746.077024132324,0.0,High-Value Subscribers,VIP Subscribers,91.44836104863624,Excellent,Standard Telecom Subscriber Loyalty Check-in,Low,0.0,,,,,,,,,,,,,,,,,,,,,
4929-XIHVW,0.9329900092741158,194.5684606606665,0.0,Growth Subscribers,Churned Subscribers,30.0824507176382,Poor,Offer Annual Contract Migration Discount,High,81.68869346231054,,,,,,,,,,,,,,,,,,,,,
6827-IEAUQ,0.0583303185557071,1816.480494581352,0.0,High-Value Subscribers,High-Potential Subscribers,73.16819046536905,Good,Offer Autopay Billing Discount,Medium,21.191177179831747,,,,,,,,,,,,,,,,,,,,,
7310-EGVHZ,0.4784948875139401,36.70856030322162,22.015707057918167,Loyal Subscribers,Dormant Subscribers,30.47455037263076,Poor,Offer Annual Contract Migration Discount,High,7.904186294889922,,,,,,,,,,,,,,,,,,,,,
3413-BMNZE,0.7281269811293131,62.40644616297271,16.89575365661905,Growth Subscribers,Churned Subscribers,24.71097624579143,Poor,Offer Annual Contract Migration Discount,High,20.447917761444444,,,,,,,,,,,,,,,,,,,,,
6234-RAAPL,0.0576338634022699,7145.405978545948,0.0,High-Value Subscribers,VIP Subscribers,92.73483850435974,Excellent,Standard Telecom Subscriber Loyalty Check-in,Low,0.0,,,,,,,,,,,,,,,,,,,,,
6047-YHPVI,0.8376800905373172,376.30293588341016,0.0,Growth Subscribers,Churned Subscribers,28.456850783832312,Poor,Offer Annual Contract Migration Discount,High,141.84966483012298,,,,,,,,,,,,,,,,,,,,,
6572-ADKRS,0.4823333755016847,3461.205617574704,0.0,Loyal Subscribers,Loyal Subscribers,60.36553591128386,Good,Offer Annual Contract Migration Discount,High,751.2547449735902,,,,,,,,,,,,,,,,,,,,,
5380-WJKOV,0.7895021182266921,3696.358313048852,0.0,High-Value Subscribers,At-Risk Subscribers,58.03531374951293,Moderate,Offer Executive Retention & Fiber Upgrade Pack,Critical,2918.2827178769107,,,,,,,,,,,,,,,,,,,,,
8168-UQWWF,0.8613217553958618,1097.785654052066,0.0,High-Value Subscribers,Churned Subscribers,42.96317297698534,Moderate,Offer Annual Contract Migration Discount,High,425.4959999684339,,,,,,,,,,,,,,,,,,,,,
8865-TNMNX,0.199273143171863,522.0626483411938,0.0,Loyal Subscribers,Dormant Subscribers,52.582470957046375,Moderate,Offer Priority Telecom Tech Support,Medium,15.604959730136502,,,,,,,,,,,,,,,,,,,,,
9489-DEDVP,0.0451857867280137,4861.822012188824,0.0,High-Value Subscribers,VIP Subscribers,88.77451454353503,Excellent,Offer Priority Telecom Tech Support,Medium,32.95278788284901,,,,,,,,,,,,,,,,,,,,,
9867-JCZSP,0.068973307885835,360.3916107060149,0.0,Loyal Subscribers,Dormant Subscribers,54.70833659171054,Moderate,Offer Autopay Billing Discount,Medium,4.971480304939597,,,,,,,,,,,,,,,,,,,,,
